Move	No. States	 Total Time	 Mean Time	 Std Time	 Total Nodes	 Mean Nodes	 Std Nodes
1	2	0	0	?	7	3.5	?
2	4	1	0.25	?	33	8.25	3.11247
3	8	0	0	?	125	15.625	2.28788
4	16	1	0.0625	?	400	25	4.13824
5	20	2	0.1	?	938	46.9	7.98686
6	39	3	0.07692	?	3115	79.87179	18.11456
7	62	8	0.12903	?	8806	142.03226	22.09508
8	116	19	0.16379	?	25839	222.75	43.32692
9	152	30	0.19737	?	60278	396.56579	59.30848
10	286	61	0.21329	?	173706	607.36364	114.73152
11	396	108	0.27273	?	409447	1033.95707	150.78699
12	748	251	0.33556	?	1182491	1580.87032	293.55784
13	1024	587	0.57324	?	2753933	2689.3877	389.5348
14	1893	1554	0.82092	?	7702057	4068.70417	737.65972
15	2512	3358	1.33678	?	17123463	6816.66521	947.90838
16	4485	9354	2.08562	?	45199575	10077.94314	1694.79324
17	5638	19800	3.51188	?	91925411	16304.61352	2116.22466
18	9529	49859	5.23234	?	221575575	23252.76262	3483.6912
19	10878	98138	9.0217	1.69457	386523560	35532.59423	4024.7149
20	16993	209503	12.32878	1.45642	815217525	47973.72595	5934.46293
21	17110	330907	19.33998	2.72349	1165138406	68096.92613	6278.69516
22	23952	708861	29.59507	3.83125	2062400567	86105.56809	8161.1563
23	20224	784197	38.77556	3.36502	2253094508	111406.9674	7258.51617
24	24047	1065494	44.30881	4.16959	3125161407	129960.5525	7793.93045
25	15578	862847	55.38882	4.09334	2362667614	151666.9415	5484.3262
26	14650	867818	59.60288	3.71213	2387454891	163973.5502	4530.0876
27	6274	396454	63.18999	4.44682	1096263724	174731.2279	2119.12866
28	3910	248861	63.64731	2.948	698654406	178683.9913	1148.80512
29	760	50164	66.00526	6.58447	137471456	180883.4947	253.66646
30	221	14541	65.79638	4.06109	40075324	181336.3077	63.36992
31	2	133	66.5	?	362879	181439.5	?
