Move,Total time,Average Time,Std Time,Total Expanded,Average Expanded,Std Expanded
0,0,0,�,1,1,�

1,0,0,�,16,8,1.73205

2,0,0,�,174,43.5,13.42572

3,0,0,�,1438,179.75,62.31322

4,0,0,�,11042,690.125,209.56081

5,0,0,�,41055,2052.75,570.94701

6,1,0.02564,�,247218,6338.92308,2006.7822

7,0,0,�,1252434,20200.54839,5926.64066

8,3,0.02586,�,7141514,61564.77586,18116.38057

9,12,0.07895,�,26221684,172511.07895,45703.16525

10,40,0.13986,�,141565643,494984.76573,139547.76632

11,61,0.15404,�,537912786,1358365.62121,359326.29265

12,214,0.2861,�,2932798308,3920853.35294,1106314.15143

13,456,0.44531,�,10931902563,10675686.09668,2796906.73413

14,1318,0.69625,�,57001087409,30111509.46064,8428669.34665

15,2849,1.13416,�,201981703420,80406729.06847,20626212.7209

16,8444,1.88272,�,984232253249,219449777.75897,59491524.71213

17,19540,3.46577,�,3170078447628,562270033.27918,138314031.0017

18,52727,5.53332,0.82532,13831517958634,1451518308.17861,376225962.36785

19,109604,10.07575,1.35674,-8139380563121,-748242375.72357,855123874.78521

20,274075,16.1287,3.24043,1254497557225,73824372.22533,1353311551.92473

21,506474,29.60105,4.57709,94408404776,5517732.59942,1240246999.92202

22,1141739,47.66779,9.81867,658728160497,27502010.70879,1207205780.66707

23,1806448,89.32199,14.37826,-421154366277,-20824484.09202,1258984754.11169

24,3362160,139.81619,28.49648,212501645636,8836929.58107,1228361967.11349

25,4000870,256.82822,40.65666,-76354259312,-4901416.05546,1249398085.06325

26,5898262,405.10041,80.24989,-32132621410,-2206910.81113,1236078766.79144

27,4677624,745.5569,112.26849,-12805202923,-2040995.0467,1238022457.23428

28,4431752,1133.44041,203.71323,-7379652888,-1887379.25524,1248647229.87872

29,1592168,2094.95789,264.39061,2845108597,3743563.94342,1224953075.59027

30,679974,3076.80543,392.95566,-7687784617,-34786355.73303,1247565636.44367

31,11413,5706.5,175.49715,1455019723,727509861.5,73975257.5

